trip_id,arrival_time,departure_time,stop_id,stop_name,stop_lat,stop_lon,route_id,route_short_name,route_long_name,date
20241216-27-27171,08:49:00,08:49:00,01137,Aquitaine Ave. @ Montevideo Rd.,43.5907898,-79.7561111,12240125-27,27,Milton / North York,20241216
20241206-56-56270,10:11:00,10:11:00,02839,Simcoe St. N. @ Richmond St. E.,43.8990287511044,-78.864162144326,08241224-56,56,Oshawa / Oakville,20241206
20241206-41-41241,09:02:00,09:02:00,00727,Liverpool Rd. @ Pickering Pkwy.,43.83309,-79.08914,08241224-41,41,Hamilton / Pickering,20241206
20241219-18-18690,16:30:00,16:30:00,01006,King St. W. @ Summers Ln. (Hamilton Place),43.2576485,-79.8717346,12240125-18,18,Lakeshore West,20241219
20241231-47-47910,23:06:00,23:06:00,01005,King St. W. @ Strathcona Ave. N.,43.2614555,-79.8850708,12240125-47,47,Hamilton / Hwy 407 Terminal,20241231
20250102-MI-2737,17:39:00,17:39:00,CO,Cooksville GO,43.582973,-79.623695,12240125-MI,MI,Milton,20250102
20241219-41-41780,21:02:00,21:02:00,02214,Erin Mills Transitway Station,43.5520363,-79.7003021,12240125-41,41,Hamilton / Pickering,20241219
20241227-70-70261,10:27:00,10:27:00,02193,Main St. @ Weldon Rd.,43.9682426,-79.2604752,12240125-70,70,Uxbridge / Mount Joy,20241227
20241214-LE-9031,18:12:00,18:12:00,WH,Whitby GO,43.86484,-78.93818,12240125-LE,LE,Lakeshore East,20241214
20241205-41-41330,10:55:00,10:55:00,00141,Hamilton GO Centre Bus,43.252945,-79.869586,08241224-41,41,Hamilton / Pickering,20241205
20241228-92-92581,17:10:00,17:10:00,00011,York Mills Bus Terminal,43.745079,-79.4064636,12240125-92,92,Oshawa / Yorkdale,20241228
20250102-40-40250,10:55:00,10:55:00,00350,Richmond Hill Centre,43.8401451,-79.4252853,12240125-40,40,Hamilton / Richmond Hill,20250102
20241204-31-31880,24:05:00,24:05:00,00221,Brampton Bus Terminal,43.6869087,-79.7628632,08241224-31,31,Guelph / Toronto,20241204
20241210-56-56512,15:48:00,15:48:00,02543,Simcoe St. N. @ Parkwood Crt.,43.905807,-78.867111,12240125-56,56,Oshawa / Oakville,20241210
20241210-40-40021,05:11:00,05:11:00,02163,Trafalgar Rd. @ Hwy. 407 Park & Ride,43.506545,-79.745813,12240125-40,40,Hamilton / Richmond Hill,20241210
20241213-92-92171,08:35:00,08:35:00,00170,Kingston Rd. @ Port Union Rd.,43.7991524,-79.145546,12240125-92,92,Oshawa / Yorkdale,20241213
20241206-33-33240,08:15:00,08:15:00,00837,Guelph St. @ Mill St.,43.6512375,-79.9233627,08241224-33,33,Guelph / North York,20241206
20241212-56-56391,14:20:00,14:20:00,00350,Richmond Hill Centre,43.8401451,-79.4252853,12240125-56,56,Oshawa / Oakville,20241212
20250103-33-33681,19:19:00,19:19:00,00847,Hwy. 7 @ Banting Rd.,43.6515427,-79.9443207,12240125-33,33,Guelph / North York,20250103
20241216-17-17270,12:09:00,12:09:00,01009,Main St. W. @ Macklin St. S.,43.2599144,-79.8979721,12240125-17,17,Waterloo / Hamilton,20241216
20241209-56-56541,16:27:00,16:27:00,01435,Trafalgar Rd. @ Burnhamthorpe Rd.,43.5013275,-79.7375031,12240125-56,56,Oshawa / Oakville,20241209
20241220-31-31923,26:14:00,26:14:00,00830,Guelph St. @ Lakeview Ave.,43.6330376,-80.0496826,12240125-31,31,Guelph / Toronto,20241220
20250102-27-27101,07:48:00,07:48:00,00816,Derry Rd. @ Trudeau Dr.,43.5284157,-79.8378067,12240125-27,27,Milton / North York,20250102
20241128-88-88721,20:51:00,20:51:00,00526,Durham Hwy. 2 @ Browview Rd.,43.9131012,-78.6224365,08241224-88,88,Peterborough / Oshawa,20241128
20241221-36-36181,08:20:00,08:20:00,01184,Clark Blvd. @ Kings Cross Rd.,43.7190437,-79.7124939,12240125-36,36,Brampton / North York Express,20241221
20241218-LW-1022,14:13:00,14:13:00,BU,Burlington GO,43.341265,-79.809141,12240125-LW,LW,Lakeshore West,20241218
20241228-47-47830,20:31:00,20:31:00,01002,King St. E. @ Hughson St. N.,43.2562103,-79.8672409,12240125-47,47,Hamilton / Hwy 407 Terminal,20241228
20241217-41-41274,11:58:00,11:58:00,02756,Consumers Rd. @ William Sylvester Dr.,43.770398,-79.33023,12240125-41,41,Hamilton / Pickering,20241217
20241221-21-21463,17:37:00,17:37:00,00730,Erin Mills Pkwy. @ Britannia Rd. W.,43.577713,-79.7318649,12240125-21,21,Milton,20241221
20241220-22-22220,08:02:00,08:02:00,00891,Thompson Rd. S. @ Childs Dr.,43.5241127,-79.8615265,12240125-22,22,Milton / Oakville,20241220
20250101-47-47311,10:40:00,10:40:00,02674,Hwy 407 Bus Terminal,43.7830713234851,-79.5244458372792,12240125-47,47,Hamilton / Hwy 407 Terminal,20250101
20241204-66-66591,18:30:00,18:30:00,02731,Davis Dr. W. @ Eagle St. W.,44.053617,-79.485558,08241224-66,66,East Gwillimbury / Hwy 407 Terminal,20241204
20241216-21-21863,24:01:00,24:01:00,02655,Hurontario St. @ Fairview Rd.,43.5875907610701,-79.6265046670912,12240125-21,21,Milton,20241216
20241222-LW-1735,21:44:00,21:44:00,UN,Union Station,43.645195,-79.3806,12240125-LW,LW,Lakeshore West,20241222
20241227-48-48220,07:17:00,07:17:00,01481,Derry Rd. W. @ Winston Churchill Blvd.,43.5877228,-79.7712631,12240125-48,48,Guelph / Hwy 407 Terminal,20241227
